new_family_index,old_family_index,family,level,family_num
271,250,Globoquadrinidae,2,6155
272,291,Pseudocumatidae,2,6133
273,302,Phycidae,4,6123
274,307,Sacconemertidae,2,6111
275,305,Synaptidae,2,6104
276,214,Serranidae,5,6066
277,310,Alcyoniidae,3,6044
278,309,Onuphidae,2,6003
279,314,Flustridae,2,5908
280,312,Anthuridae,2,5904
281,308,Pentanchidae,5,5903
282,316,Scenedesmaceae,1,5895
283,304,Microlaimidae,2,5835
284,318,Furcellariaceae,1,5827
285,296,Oxytoxaceae,1,5810
286,319,Cheirocratidae,2,5809
287,306,Comesomatidae,2,5783
288,313,Laminariaceae,1,5758
289,292,Chordariaceae,1,5729
290,320,Patellidae,2,5684
291,315,Ascidiidae,2,5669
292,321,Trochochaetidae,2,5616
293,322,Melitidae,2,5609
294,276,Nodosariidae,2,5541
295,325,Ischyroceridae,2,5495
296,328,Myxinidae,5,5431
297,300,Fritillariidae,2,5373
298,334,Iravadiidae,2,5325
299,327,Acinetosporaceae,1,5296
300,333,Euglenaceae,2,5275
301,338,Bugulidae,2,5218
302,332,Ophiotrichidae,2,5172
303,340,Tryphosidae,2,5162
304,339,Fabriciidae,2,5146
305,341,Triakidae,5,5124
306,348,Plumulariidae,3,5023
307,345,Dictyotaceae,1,5013
308,346,Psammobiidae,2,4993
309,232,Calcidiscaceae,1,4990
310,349,Potamogetonaceae,1,4982
311,257,Truncorotaloididae,2,4971
312,347,Anomiidae,2,4944
313,337,Macrouridae,4,4938
314,355,Sphaerodoridae,2,4910
315,283,Vaginulinidae,2,4856
316,360,Cocconeidaceae,1,4814
317,362,Celleporidae,2,4811
318,343,Congridae,5,4807
319,350,Sargassaceae,1,4803
320,354,Upogebiidae,3,4799
321,330,Cyatholaimidae,2,4771
322,365,Leucothoidae,2,4771
323,286,Cancrisidae,2,4770
324,364,Sphacelariaceae,1,4712
325,245,Catapsydracidae,2,4693
326,363,Cerianthidae,3,4685
327,366,Gnathiidae,2,4628
328,368,Astropectinidae,4,4533
329,370,Vesiculariidae,2,4498
330,342,Scorpaenidae,5,4455
331,373,Lucinidae,2,4426
332,371,Sepiolidae,4,4354
333,377,Tubulanidae,2,4320
334,376,Calloporidae,2,4308
335,372,Cytheruridae,2,4301
336,170,Physeteridae,5,4292
337,359,Leucosiidae,3,4291
338,374,Turritellidae,2,4271
339,353,Candaciidae,2,4245
340,357,Aetideidae,2,4229
341,378,Callianassidae,3,4199
342,382,Glycymerididae,2,4165
343,384,Chattonellaceae,1,4082
344,381,Echinidae,2,3965
345,389,Lichenoporidae,2,3955
346,392,Leptolyngbyaceae,1,3909
347,235,Codonellidae,2,3897
348,391,Crisiidae,2,3876
349,395,Miraciidae,2,3859
350,208,Salmonidae,4,3859
351,383,Linhomoeidae,2,3856
352,399,Lineidae,2,3748
353,403,Amphinomidae,2,3742
354,394,Lithothamniaceae,1,3735
355,408,Chaetodermatidae,3,3687
356,402,Halichondriidae,2,3678
357,367,Tachidiidae,2,3658
358,380,Calliopiidae,2,3658
359,407,Axonolaimidae,2,3647
360,400,Eledonidae,5,3635
361,324,Nonionidae,2,3630
362,386,Corystidae,4,3619
363,412,Thiidae,3,3593
